Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
425213,"Algorithms in C++, Parts 1-4: Fundamentals, Data Structure, Sorting, Searching",Robert Sedgewick,"Sedgewick, Robert",Christopher J. Van Wyk,"=""0201350882""","=""9780201350883""",4,4.04,Addison-Wesley Professional,Paperback,752,1998,1998,2017/02/20,2016/03/03,computer-science,computer-science (#31),read,Good reference on basic algorithms and data structures!,,,1,,,1,,,unspecified,,
17130600,Nine Algorithms That Changed the Future: The Ingenious Ideas That Drive Today's Computers,John  MacCormick,"MacCormick, John",Chris Bishop,"=""0691158193""","=""9780691158198""",3,3.84,Princeton University Press,Paperback,219,2013,2011,2017/02/12,2017/02/07,"ai, computer-science","ai (#14), computer-science (#30)",read,"Nice little book highlighting some algorithms we use every day (Pagerank, compression, encryption...) and explaining them in clear, simple language using analogies. ",,,1,,,1,,,unspecified,,
13513205,A Wrinkle in Time: The Graphic Novel,Hope Larson,"Larson, Hope",Madeleine L'Engle,"=""0374386153""","=""9780374386153""",0,3.92,Margaret Ferguson Books,Hardcover,392,2012,2012,,2017/02/07,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
29939201,Modern Death: How Medicine Changed the End of Life,Haider Warraich,"Warraich, Haider",,"=""1250104580""","=""9781250104588""",0,3.91,St. Martin's Press,Hardcover,336,2017,2017,,2017/01/29,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
28110850,Cannibalism: A Perfectly Natural History,Bill Schutt,"Schutt, Bill",Patricia J. Wynne,"=""1616204621""","=""9781616204624""",0,3.87,Algonquin Books,Hardcover,332,2017,2017,,2017/01/29,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
18658803,The Circle,Dave Eggers,"Eggers, Dave",,"=""""","=""""",4,3.44,Penguin,Kindle Edition,504,2013,2013,2017/01/02,2016/12/30,"novels, computer-science","novels (#67), computer-science (#29)",read,"The Circle is the largest internet company in the world. Almost everyone uses their search engine, social media, payment system... The Circle's mission is to make all information always available for everyone.<br/><br/>In this novel we follow Mae, a young ambitious graduates who lands her dream job in the Circle in customer services. Employees are expected participate in the companies social media as much as possible and generally contribute as much information and data as possible, in the interest of the community company's functioning and their own well being. After all, secrets are lies and sharing is caring.<br/><br/>Though the story is quite simple, the satire is quite topical and the book is worth a read.",,,1,,Koen Van den Eeckhout,0,,,,,
6101718,The Magicians (The Magicians #1),Lev Grossman,"Grossman, Lev",,"=""0670020559""","=""9780670020553""",0,3.50,Viking,Hardcover,402,2009,2009,,2016/12/28,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
32149719,Hier ben ik,Jonathan Safran Foer,"Foer, Jonathan Safran",,"=""""","=""9789026335662""",0,3.64,Ambo Anthos,Hardcover,639,2016,2016,,2016/12/26,currently-reading,currently-reading (#8),currently-reading,,,,1,,,0,,,,,
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.16,Henry Holt and Co.,Hardcover,368,2016,2016,,2016/12/26,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
3805,The Corrections,Jonathan Franzen,"Franzen, Jonathan",,"=""1841156736""","=""9781841156736""",0,3.79,Fourth Estate Paperbacks,Paperback,653,2002,2001,,2016/12/26,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0345339738""","=""9780345339737""",4,4.52,Del Rey,Mass Market Paperback,490,2003,1955,2016/12/26,2016/12/25,fantasy,fantasy (#44),read,,,,1,,,0,,,,,
32689795,"Hoezo, je kunt niet (meer) lachen?",Christiaan De Smedt,"Smedt, Christiaan De",,"=""""","=""9789402230031""",4,3.80,Boekscout,Paperback,106,2016,,2016/12/25,2016/12/25,,,read,"Grappige, absurde gedichtenbundel over het alledaagse leven in Vlaanderen. Perfect om eens een uurtje te glimlachen voor het haardvuur. ",,,1,,,0,,,,,
18160,The Art of Deception: Controlling the Human Element of Security,Kevin D. Mitnick,"Mitnick, Kevin D.","William L. Simon, Steve Wozniak","=""076454280X""","=""9780764542800""",0,3.76,Wiley,Paperback,352,2003,2001,,2016/12/23,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",Peter Beagle,"=""0618346260""","=""9780618346264""",4,4.43,Houghton Mifflin,Paperback,322,2003,1954,2016/12/13,2016/10/08,fantasy,fantasy (#43),read,,,,1,,,0,,,,,
