Date,Ticker,Price
20100426,WFC,33.36
20100427,WFC,32.2
20100428,WFC,32.1
20100429,WFC,32.79
20100430,WFC,33.25
20100503,WFC,33.22
20100504,WFC,33.41
20100505,WFC,32.6
20100506,WFC,32.42
20100507,WFC,30.88
20100510,WFC,32.23
20100511,WFC,32.51
20100512,WFC,33.18
20100513,WFC,33.5
20100514,WFC,32.76
20100517,WFC,32.08
20100518,WFC,32.24
20100519,WFC,29.95
20100520,WFC,29.41
20100521,WFC,28.08
20100524,WFC,29.57
20100525,WFC,27.71
20100526,WFC,29.23
20100527,WFC,28.71
20100528,WFC,29.47
20100601,WFC,28.68
20100602,WFC,28.56
20100603,WFC,29.36
20100604,WFC,28.28
20100607,WFC,28.01
20100608,WFC,27.46
20100609,WFC,27.95
20100610,WFC,27.52
20100611,WFC,27.74
20100614,WFC,27.8
20100615,WFC,27.59
20100616,WFC,27.76
20100617,WFC,28.1
20100618,WFC,28.04
20100621,WFC,28.44
20100622,WFC,28.03
20100623,WFC,27.38
20100624,WFC,27.05
20100625,WFC,27.15
20100628,WFC,27.24
20100629,WFC,26.58
20100630,WFC,26.05
20100701,WFC,25.53
20100702,WFC,25.4
20100706,WFC,25.46
20100707,WFC,25.28
20100708,WFC,27.06
20100709,WFC,26.5
20100712,WFC,26.93
20100713,WFC,27.38
20100714,WFC,27.7
20100715,WFC,27.85
20100716,WFC,27.44
20100719,WFC,26.27
20100720,WFC,25.47
20100721,WFC,27.51
20100722,WFC,26.62
20100723,WFC,27.33
20100726,WFC,27.52
20100727,WFC,28.41
20100728,WFC,28.25
20100729,WFC,28.35
20100730,WFC,27.27
20100802,WFC,28.29
20100803,WFC,28.45
20100804,WFC,28.17
20100805,WFC,27.71
20100806,WFC,27.49
20100809,WFC,27.9
20100810,WFC,27.94
20100811,WFC,27.26
20100812,WFC,26.0
20100813,WFC,25.99
20100816,WFC,25.67
20100817,WFC,25.96
20100819,WFC,25.1
20100820,WFC,24.43
20090821,WFMI,28.2
20090824,WFMI,28.98
20090825,WFMI,28.12
20090826,WFMI,29.12
20090827,WFMI,29.49
20090828,WFMI,29.78
20090831,WFMI,28.98
20090901,WFMI,28.79
20090902,WFMI,28.0
20090903,WFMI,27.43
20090904,WFMI,27.47
20090909,WFMI,27.99
20090910,WFMI,28.49
20090911,WFMI,28.57
20090914,WFMI,28.3
20090915,WFMI,28.73
20090916,WFMI,28.41
20090917,WFMI,28.43
20090918,WFMI,28.3
20090921,WFMI,28.35
20090922,WFMI,28.76
20090923,WFMI,29.47
20090924,WFMI,29.33
20090925,WFMI,28.32
20090928,WFMI,28.94
20090929,WFMI,30.35
20090930,WFMI,30.53
20091001,WFMI,30.33
20091002,WFMI,29.16
20091005,WFMI,29.25
20091006,WFMI,30.38
20091007,WFMI,30.93
20091008,WFMI,31.38
20091009,WFMI,31.21
20091012,WFMI,31.85
20091013,WFMI,32.57
20091014,WFMI,33.04
20091015,WFMI,32.83
20091016,WFMI,33.56
20091019,WFMI,33.81
20091020,WFMI,34.03
20091021,WFMI,33.65
20091022,WFMI,33.14
20091023,WFMI,33.84
20091026,WFMI,33.42
20091027,WFMI,33.23
20091028,WFMI,33.18
20091105,WFMI,28.91
20091106,WFMI,27.01
20091109,WFMI,28.41
20091110,WFMI,28.18
20091111,WFMI,28.63
20091113,WFMI,27.45
20091116,WFMI,27.39
20091117,WFMI,27.16
20091118,WFMI,26.49
20091119,WFMI,26.52
20091120,WFMI,26.65
20091123,WFMI,26.67
20091124,WFMI,26.79
20091125,WFMI,26.56
20091127,WFMI,25.94
20091130,WFMI,25.85
20091201,WFMI,25.83
20091202,WFMI,26.01
20091203,WFMI,26.14
20091204,WFMI,26.04
20091207,WFMI,26.11
20091208,WFMI,25.49
20091209,WFMI,25.47
20091210,WFMI,25.99
20091211,WFMI,26.43
20091214,WFMI,26.76
20091215,WFMI,27.185
20091216,WFMI,27.91
20091217,WFMI,27.5
20091218,WFMI,27.63
