route,Free Flow Speed,2019 Peak Hour Mean Speed,2019 Peak Hour 5th Speed,2019 Speed Ratio,2019 BTI,2020 Peak Hour Mean Speed,2020 Peak Hour 5th Speed,2020 Speed Ratio,2020 BTI,2021 Peak Hour Mean Speed,2021 Peak Hour 5th Speed,2021 Speed Ratio,2021 BTI,2019 Congested,2019 Reliability,2020 Congested,2020 Reliability,2021 Congested,2021 Reliability
rm620_el_salido$rm620_anderson_mill,33.95298165137615,14.992195909580193,6.0,0.4415575652093737,1.4986993182633654,24.17031738936075,8.0,0.711876136167885,2.021289673670094,21.922024623803008,7.0,0.6456583062098903,2.1317178034004294,Congested,Moderately Reliable Travel Time,Not Congested,Unreliable Travel Time,Not Congested,Unreliable Travel Time
rm620_el_salido$rm620_hatch,46.17777777777778,43.73267326732673,26.0,0.9470501910633796,0.6820258948971818,,,,,,,,,Not Congested,Reliable Travel Time,,,,
rm620_hatch$rm620_el_salido,37.753246753246756,13.253858024691358,6.0,0.35106538283496197,1.2089763374485596,,,,,,,,,Congested,Reliable Travel Time,,,,
rm620_hatch$rm620_lake_creek,4.68,4.15625,4.0,0.8880876068376069,0.039062500000000056,,,,,,,,,Not Congested,Reliable Travel Time,,,,
rm620_lake_creek$rm620_boulder_north,18.857142857142858,10.676470588235293,6.0,0.5661764705882353,0.7794117647058824,,,,,,,,,Congested,Reliable Travel Time,,,,
rm620_lake_creek$rm620_deerbrook,7.903553299492386,5.518935516888434,4.0,0.698285354416841,0.3797338792221086,6.173441734417344,5.0,0.7810969952987905,0.23468834688346876,6.200392927308448,5.0,0.7845070049324111,0.24007858546168961,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
rm620_lake_creek$rm620_hatch,4.5,4.24,4.0,0.9422222222222223,0.060000000000000005,,,,,,,,,Not Congested,Reliable Travel Time,,,,
rm620_wilson_park$fm2222_rm620,43.961722488038276,28.83457355466514,12.0,0.6559018146413816,1.4028811295554287,33.88899950223992,18.0,0.7708751519338424,0.8827221945688846,29.19463087248322,12.0,0.6640920605516971,1.4328859060402683,Not Congested,Moderately Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Moderately Reliable Travel Time
rm620_wilson_park$rm620_boulder_south,49.4449378330373,39.35134668508287,19.0,0.7958619913318961,1.0711235097412037,46.70354320672954,32.0,0.9445566169874713,0.4594857252102983,45.47733233420757,31.0,0.9197570939976241,0.4670107204583087,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
ross_pearce$fm973_pearce,40.94047619047619,35.30118110236221,27.0,0.8622562409416765,0.30745115193934097,38.77056277056277,30.5,0.9469983346110127,0.27116599247746775,36.80396475770925,28.0,0.8989627914066813,0.31442731277533037,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
