"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2010-084","2010-084-01","2010-084-01-01","2010-084-01-01-01",6/27/2011,1,"564 U.S. 721","131 S. Ct. 2806","180 L. Ed. 2d 664","2011 U.S. LEXIS 4992",2010,1704,"Roberts","10-238","ARIZONA FREE ENTERPRISE CLUB'S FREEDOM CLUB PAC, et al., PETITIONERS v. KEN BENNETT, IN HIS OFFICIAL CAPACITY AS ARIZONA SECRETARY OF STATE, et al.",3/28/2011,,207,,19,4,1,,,0,45,,29,,1,12,3,2,3,3,0,1,0,0,30140,3,1,0,2,,2,200,"NA",111,111,1,5,4
"2010-085","2010-085-01","2010-085-01-01","2010-085-01-01-01",7/7/2011,2,"564 U.S. 940","131 S. Ct. 2866","180 L. Ed. 2d 872","2011 U.S. LEXIS 5019",2010,1704,"Roberts","11–5001","HUMBERTO LEAL GARCIA, AKA HUMBERTO LEAL v. TEXAS",,,126,,28,51,12,,,0,122,,25,,0,1,2,1,1,9,0,0,0,0,10130,1,1,0,7,,2,221,"NA",,111,1,5,4
"2010-086","2010-086-01","2010-086-01-01","2010-086-01-01-01",3/29/2011,6,"563 U.S. 123","131 S. Ct. 1387","179 L. Ed. 2d 470","2011 U.S. LEXIS 2593",2010,1704,"Roberts","09-11556","JOSE TOLENTINO, PETITIONER v. NEW YORK",3/21/2011,,100,,28,37,1,,,0,302,37,300,37,0,12,2,1,1,9,0,0,0,0,90150,9,1,0,3,,9,900,"NA",,111,1,9,0
"2011-001","2011-001-01","2011-001-01-01","2011-001-01-01-01",10/31/2011,2,"565 U.S. 1","132 S. Ct. 2","181 L. Ed. 2d 311","2011 U.S. LEXIS 7603",2011,1704,"Roberts","10-1115","JAVIER CAVAZOS, ACTING WARDEN v. SHIRLEY REE SMITH",,,28,6,126,,1,,,0,48,,29,,0,12,4,2,1,4,0,1,0,0,10020,1,1,0,4,,3,341,"NA",,111,1,6,3
"2011-002","2011-002-01","2011-002-01-01","2011-002-01-01-01",11/8/2011,1,"565 U.S. 34","132 S. Ct. 38","181 L. Ed. 2d 336","2011 U.S. LEXIS 8077",2011,1704,"Roberts","10-637","ERIC GREENE, AKA JARMAINE Q. TRICE v. JON FISHER, SUPERINTENDENT, STATE CORRECTIONAL INSTITUTION AT SMITHFIELD, et al.",10/11/2011,,126,,28,45,1,,,0,109,,23,,1,12,2,1,1,2,0,0,0,0,10020,1,1,0,4,,3,341,"NA",105,111,1,9,0
"2011-003","2011-003-01","2011-003-01-01","2011-003-01-01-01",11/7/2011,2,"565 U.S. 23","132 S. Ct. 26","181 L. Ed. 2d 328","2011 U.S. LEXIS 7926",2011,1704,"Roberts","10-1540","DAVID BOBBY, WARDEN v. ARCHIE DIXON",,,28,41,215,,1,,,0,103,,26,,0,12,1,2,1,4,0,1,0,0,10100,1,1,0,2,,2,209,"NA",,111,1,9,0
"2011-004","2011-004-01","2011-004-01-01","2011-004-01-01-01",11/7/2011,2,"565 U.S. 18","132 S. Ct. 23","181 L. Ed. 2d 323","2011 U.S. LEXIS 7924",2011,1704,"Roberts","10-1521","KPMG LLP v. ROBERT COCCHI et al.",,,119,,173,,1,,,0,302,12,301,12,0,12,2,2,1,5,0,1,0,0,80160,8,1,0,4,,6,600,"9-1",,111,1,9,0
"2011-005","2011-005-01","2011-005-01-01","2011-005-01-01-01",1/10/2012,1,"565 U.S. 134","132 S. Ct. 641","181 L. Ed. 2d 619","2012 U.S. LEXIS 574",2011,1704,"Roberts","10-895","RAFAEL ARRIAZA GONZALES v. RICK THALER, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION",11/2/2011,,126,,28,51,1,,,0,120,,25,,0,11,2,1,1,2,0,0,0,0,90480,9,1,0,4,,3,341,"NA",113,111,1,8,1
"2011-006","2011-006-01","2011-006-01-01","2011-006-01-01-01",1/10/2012,1,"565 U.S. 118","132 S. Ct. 617","181 L. Ed. 2d 606","2012 U.S. LEXIS 573",2011,1704,"Roberts","10-1104","MARGARET MINNECI, et al. v. RICHARD LEE POLLARD et al.",11/1/2011,,145,,126,,1,,,0,49,,29,,0,12,3,2,1,3,0,1,0,0,10140,1,1,0,2,7,2,221,"NA",110,111,1,8,1
"2011-007","2011-007-01","2011-007-01-01","2011-007-01-01-01",1/10/2012,1,"565 U.S. 95","132 S. Ct. 665","181 L. Ed. 2d 586","2012 U.S. LEXIS 575",2011,1704,"Roberts","10-948","COMPUCREDIT CORPORATION et al. v. WANDA GREENWOOD et al.",10/11/2011,,135,,134,,1,,,0,50,,29,,1,12,2,2,1,4,0,1,0,0,80160,8,1,0,4,,6,600,"15-1679",105,111,1,8,1
"2011-008","2011-008-01","2011-008-01-01","2011-008-01-01-01",1/10/2012,1,"565 U.S. 73","132 S. Ct. 627","181 L. Ed. 2d 571","2012 U.S. LEXIS 576",2011,1704,"Roberts","10-8145","JUAN SMITH v. BURL CAIN, WARDEN",11/8/2011,,126,,28,22,1,,,0,302,22,300,22,0,12,9,1,1,4,0,1,0,0,10160,1,2,0,2,,2,230,"NA",111,111,1,8,1
"2011-009","2011-009-01","2011-009-01-01","2011-009-01-01-01",1/11/2012,1,"565 U.S. 228","132 S. Ct. 716","181 L. Ed. 2d 694","2012 U.S. LEXIS 579",2011,1704,"Roberts","10-8974","BARION PERRY v. NEW HAMPSHIRE",11/2/2011,,100,,28,34,1,,,0,302,34,300,34,0,2,2,1,1,2,0,0,0,0,10150,1,1,0,2,7,2,230,"NA",109,111,1,8,1
"2011-010","2011-010-01","2011-010-01-01","2011-010-01-01-01",1/11/2012,1,"565 U.S. 207","132 S. Ct. 680","181 L. Ed. 2d 675","2012 U.S. LEXIS 577",2011,1704,"Roberts","10-507","PACIFIC OPERATORS OFFSHORE, LLP, et al. v. LUISA L. VALLADOLID ET AL",10/11/2011,,198,,145,,1,11,,0,29,,29,,0,2,3,2,1,2,0,0,0,0,80040,8,2,0,4,,3,349,"NA",108,111,1,9,0
"2011-011","2011-011-01","2011-011-01-01","2011-011-01-01-01",1/11/2012,1,"565 U.S. 171","132 S. Ct. 694","181 L. Ed. 2d 650","2012 U.S. LEXIS 578",2011,1704,"Roberts","10-553","HOSANNA-TABOR EVANGELICAL LUTHERAN CHURCH AND SCHOOL v. EQUAL EMPLOYMENT OPPORTUNITY COMMISSION, et al.",10/5/2011,,130,,332,,1,32,,0,81,,26,,0,12,5,1,2,3,0,1,0,0,30160,3,2,0,1,,2,202,"NA",111,111,1,9,0
"2011-012","2011-012-01","2011-012-01-01","2011-012-01-01-01",12/12/2011,2,"565 U.S. 65","132 S. Ct. 490","181 L. Ed. 2d 468","2011 U.S. LEXIS 9019",2011,1704,"Roberts","11-74","MARCUS HARDY, WARDEN v. IRVING L. CROSS",,,28,17,215,,1,,,0,66,,27,,0,12,3,2,1,3,0,1,0,0,10270,1,1,0,2,,2,213,"NA",,111,1,9,0
"2011-013","2011-013-01","2011-013-01-01","2011-013-01-01-01",12/12/2011,1,"565 U.S. 42","132 S. Ct. 476","181 L. Ed. 2d 449","2011 U.S. LEXIS 9018",2011,1704,"Roberts","10-694","JOEL JUDULANG, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",10/12/2011,,106,,1,,1,7,,0,29,,29,,0,2,2,1,1,4,0,1,0,0,20110,2,2,0,4,,3,344,"NA",114,111,1,9,0
"2011-014","2011-014-01","2011-014-01-01","2011-014-01-01-01",1/18/2012,1,"565 U.S. 368","132 S. Ct. 740","181 L. Ed. 2d 881","2012 U.S. LEXIS 906",2011,1704,"Roberts","10-1195","MARCUS D. MIMS, PETITIONER v. ARROW FINANCIAL SERVICES, LLC",11/28/2011,,134,,135,,1,,,0,58,,31,,0,2,2,1,1,4,0,1,0,0,80170,8,2,0,4,,6,600,"47-227",109,111,1,9,0
"2011-015","2011-015-01","2011-015-01-01","2011-015-01-01-01",1/18/2012,1,"565 U.S. 302","132 S. Ct. 873","181 L. Ed. 2d 835","2012 U.S. LEXIS 907",2011,1704,"Roberts","10-545","LAWRENCE GOLAN, et al. v. ERIC H. HOLDER, JR., ATTORNEY GENERAL, et al.",10/5/2011,,112,,1,,1,,,0,52,,30,,0,11,3,1,1,2,0,0,0,0,80190,8,1,0,1,1,1,114,"NA",109,111,1,6,2
"2011-016","2011-016-01","2011-016-01-01","2011-016-01-01-01",1/18/2012,1,"565 U.S. 266","132 S. Ct. 912","181 L. Ed. 2d 807","2012 U.S. LEXIS 905",2011,1704,"Roberts","10-63","CORY R. MAPLES, PETITIONER v. KIM T. THOMAS, COMMISSIONER, ALABAMA DEPARTMENT OF CORRECTIONS",10/4/2011,,126,,28,1,1,,,0,42,,31,,1,11,9,1,1,4,0,1,0,0,20320,2,2,0,7,,9,900,"NA",109,111,1,7,2
"2011-017","2011-017-01","2011-017-01-01","2011-017-01-01-01",1/23/2012,1,"565 U.S. 432","132 S. Ct. 975","181 L. Ed. 2d 935","2012 U.S. LEXIS 911",2011,1704,"Roberts","10-6549","BILLY JOE REYNOLDS, PETITIONER v. UNITED STATES",10/3/2011,,126,,27,,1,,,0,111,,23,,0,2,3,1,1,4,0,1,0,0,10570,1,2,0,4,5,6,600,"18-2250",110,111,1,7,2
